type	latitude	longitude	altitude (ft)	name	desc	url
T	40.695580000	-77.758050000	1011.4			
T	40.695230000	-77.757830000	1005.5			
T	40.694780000	-77.757650000	1006.1			
T	40.694640000	-77.757530000	1007.4			
T	40.694540000	-77.757300000	1014.5			
T	40.694440000	-77.756980000	1021.8			
T	40.694350000	-77.756530000	1029.4			
T	40.694230000	-77.755770000	1049.5			
T	40.694070000	-77.754970000	1082.9			
T	40.693890000	-77.754380000	1103.5			
T	40.693800000	-77.753940000	1116.3			
T	40.693610000	-77.753310000	1141.2			
T	40.693600000	-77.753080000	1147.3			
T	40.693620000	-77.752910000	1151.1			
T	40.693930000	-77.752330000	1169.3			
T	40.694030000	-77.752060000	1177.6			
T	40.694160000	-77.751580000	1188.1			
T	40.694230000	-77.751210000	1197.2			
T	40.694260000	-77.750450000	1217.7			
T	40.694300000	-77.750180000	1224.3			
T	40.694390000	-77.749860000	1229.5			
T	40.694715002	-77.749195003	1236.2			
T	40.695040000	-77.748530000	1243.9			
T	40.695200000	-77.748250000	1246.2			
T	40.695290000	-77.747940000	1246.2			
T	40.695380000	-77.747720000	1247.9			
T	40.695440000	-77.747410000	1249.4			
T	40.695440000	-77.747040000	1253.7			
T	40.695390000	-77.746680000	1256.3			
T	40.695380000	-77.746330000	1262.7			
T	40.695470000	-77.745970000	1271.7			
T	40.695570000	-77.745660000	1278.4			
T	40.695710000	-77.745350000	1289.4			
T	40.695760000	-77.745200000	1293.2			
T	40.695730000	-77.745080000	1296.6			
T	40.695620000	-77.744950000	1301.4			
T	40.695370000	-77.744900000	1307.5			
T	40.694720000	-77.744829999	1332.3			
T	40.694070000	-77.744760000	1348.2			
T	40.693320000	-77.744720000	1368.6			
T	40.692980000	-77.744720000	1380.0			
T	40.692365000	-77.744765000	1401.5			
T	40.691750000	-77.744810000	1419.3			
T	40.691570000	-77.744900000	1428.1			
T	40.691090001	-77.745280003	1445.8			
T	40.690610000	-77.745660000	1460.4			
T	40.690270000	-77.745880000	1475.0			
T	40.689690000	-77.746060000	1492.6			
T	40.689130000	-77.746510000	1513.0			
T	40.688475001	-77.746935004	1532.0			
T	40.687820000	-77.747360000	1560.9			
T	40.687600000	-77.747630000	1570.6			
T	40.687095001	-77.748010003	1589.9			
T	40.686590000	-77.748390000	1608.8			
T	40.686170001	-77.748655002	1627.2			
T	40.685750000	-77.748920000	1641.0			
T	40.685720000	-77.748970000	1641.0			
T	40.685680000	-77.749680000	1660.1			
T	40.685620000	-77.749870000	1665.6			
T	40.685280000	-77.750550000	1680.9			
T	40.684920000	-77.751040000	1693.6			
T	40.684560000	-77.751660000	1716.0			
T	40.684300000	-77.752030000	1730.4			
T	40.684290000	-77.752030000	1730.8			
T	40.683950000	-77.752520000	1748.1			
T	40.683690000	-77.752820000	1755.7			
T	40.683400000	-77.753080000	1765.7			
T	40.683050000	-77.753530000	1786.3			
T	40.682660000	-77.754210000	1806.7			
T	40.682390000	-77.754570000	1818.9			
T	40.681810000	-77.754970000	1835.8			
T	40.681380000	-77.755150000	1849.5			
T	40.680650000	-77.755420000	1876.0			
T	40.680240000	-77.755640000	1888.6			
T	40.679930000	-77.755820000	1891.2			
T	40.679370000	-77.756360000	1916.4			
T	40.678670000	-77.756980000	1950.1			
T	40.678420000	-77.757300000	1953.2			
T	40.678120000	-77.757570000	1968.1			
T	40.677920000	-77.757700000	1980.7			
T	40.677660000	-77.757750000	1986.1			
T	40.677220000	-77.757750000	1997.7			
T	40.676790000	-77.757790000	2011.5			
T	40.676530000	-77.757750000	2021.6			
T	40.676250000	-77.757660000	2029.0			
T	40.675850000	-77.757480000	2039.4			
T	40.675600000	-77.757310000	2046.2			
T	40.675080000	-77.757130000	2070.1			
T	40.674960000	-77.757070000	2070.1			
T	40.674770000	-77.756900000	2079.4			
T	40.674430000	-77.756360000	2092.2			
T	40.674180000	-77.756010000	2096.7			
T	40.674020000	-77.755730000	2098.6			
T	40.673870000	-77.755410000	2099.6			
T	40.673830000	-77.755250000	2100.8			
T	40.673770000	-77.755100000	2100.8			
T	40.673720000	-77.754800000	2101.7			
T	40.673700000	-77.754400000	2105.6			
T	40.673712511	-77.753475001	2117.5			
T	40.673725015	-77.752550001	2134.2			
T	40.673737511	-77.751625001	2150.3			
T	40.673750000	-77.750700000	2161.8			
T	40.673750000	-77.750710000	2161.7			
T	40.673772511	-77.749795001	2171.9			
T	40.673795014	-77.748880001	2176.0			
T	40.673817511	-77.747965001	2181.2			
T	40.673840000	-77.747050000	2192.1			
T	40.673820000	-77.746510000	2200.3			
T	40.673650004	-77.745524997	2213.0			
T	40.673480000	-77.744540000	2226.7			
T	40.673330000	-77.743820000	2234.2			
T	40.673290000	-77.743560000	2239.0			
T	40.673300000	-77.743270000	2240.9			
T	40.673360000	-77.743010000	2244.9			
T	40.673630001	-77.742410003	2257.7			
T	40.673900000	-77.741810000	2264.3			
T	40.674320006	-77.740970011	2272.6			
T	40.674740006	-77.740130011	2277.6			
T	40.675160000	-77.739290000	2281.9			
T	40.675535008	-77.738507513	2277.9			
T	40.675910011	-77.737725018	2261.8			
T	40.676285008	-77.736942513	2261.8			
T	40.676660000	-77.736160000	2270.1			
T	40.676580000	-77.736030000	2269.3			
T	40.676460000	-77.735630000	2266.2			
T	40.676290000	-77.734780000	2257.2			
T	40.676180000	-77.734470000	2255.8			
T	40.675730000	-77.733480000	2251.0			
T	40.675670000	-77.733210000	2251.2			
T	40.675610003	-77.732359999	2250.3			
T	40.675550000	-77.731510000	2244.8			
T	40.675460002	-77.730819999	2235.2			
T	40.675370000	-77.730130000	2228.8			
T	40.675300000	-77.729680000	2221.3			
T	40.675136672	-77.728919996	2215.8			
T	40.674973338	-77.728159996	2217.1			
T	40.674810000	-77.727400000	2216.4			
T	40.674750002	-77.726664999	2210.8			
T	40.674690000	-77.725930000	2203.0			
T	40.674690000	-77.725780000	2201.6			
T	40.674740000	-77.725470000	2200.6			
T	40.675010005	-77.724395004	2197.3			
T	40.675280000	-77.723320000	2196.0			
T	40.675455003	-77.722515002	2195.6			
T	40.675630000	-77.721710000	2187.2			
T	40.675720000	-77.721130000	2187.5			
T	40.675860002	-77.720430001	2191.6			
T	40.676000000	-77.719730000	2189.8			
T	40.676190000	-77.718930000	2191.5			
T	40.676370000	-77.718270000	2192.3			
T	40.676495002	-77.717610001	2190.3			
T	40.676620000	-77.716950000	2189.3			
T	40.676740000	-77.715980000	2185.0			
T	40.676790000	-77.715750000	2185.2			
T	40.676930000	-77.715430000	2182.3			
T	40.677120000	-77.714820000	2177.2			
T	40.677240000	-77.714370000	2178.7			
T	40.677360000	-77.713600000	2179.0			
T	40.677370000	-77.713250000	2178.1			
T	40.677350000	-77.712890000	2175.8			
T	40.677275002	-77.712284999	2171.8			
T	40.677200000	-77.711680000	2161.8			
T	40.677160000	-77.711100000	2150.8			
T	40.677160000	-77.710510000	2141.1			
T	40.677180000	-77.710330000	2141.1			
T	40.677230000	-77.710140000	2135.2			
T	40.677230000	-77.710150000	2135.4			
T	40.677350000	-77.709660000	2129.6			
T	40.677380000	-77.709400000	2128.0			
T	40.677400000	-77.708990000	2126.5			
T	40.677400000	-77.708140000	2125.0			
T	40.677490000	-77.707470000	2122.4			
T	40.677540000	-77.706890000	2119.0			
T	40.677570000	-77.706080000	2114.9			
T	40.677560000	-77.705940000	2113.0			
T	40.677520000	-77.705770000	2110.0			
T	40.677193341	-77.704799991	2092.9			
T	40.676866675	-77.703829991	2072.3			
T	40.676540000	-77.702860000	2061.6			
T	40.676660000	-77.702860000	2061.6			
T	40.676730000	-77.702780000	2061.7			
T	40.676760000	-77.702690000	2061.7			
T	40.676880000	-77.701780000	2063.3			
T	40.676990000	-77.701070000	2066.9			
T	40.677100000	-77.700670000	2074.7			
T	40.677230000	-77.700310000	2081.4			
T	40.677410000	-77.699950000	2089.0			
T	40.677745001	-77.699435003	2100.3			
T	40.678080000	-77.698920000	2119.3			
T	40.678300000	-77.698650000	2127.5			
T	40.678750000	-77.698250000	2139.9			
T	40.679225001	-77.697890003	2147.0			
T	40.679700000	-77.697530000	2155.6			
T	40.680230000	-77.697220000	2168.0			
T	40.680650000	-77.697210000	2177.0			
T	40.681170000	-77.697279999	2193.8			
T	40.681690000	-77.697350000	2197.2			
T	40.681850000	-77.697260000	2192.6			
T	40.682360000	-77.696500000	2165.7			
T	40.682630000	-77.696180000	2154.9			
T	40.682900000	-77.695760000	2149.3			
T	40.682900000	-77.695770000	2149.4			
T	40.683315002	-77.695015005	2137.1			
T	40.683730000	-77.694260000	2115.5			
T	40.684060000	-77.693410000	2085.6			
T	40.684355002	-77.692830002	2063.6			
T	40.684650000	-77.692250000	2040.0			
T	40.684970000	-77.691650000	2027.3			
T	40.685300000	-77.690990000	2005.3			
T	40.685703338	-77.690246676	1984.5			
T	40.686106671	-77.689503342	1960.2			
T	40.686510000	-77.688760000	1941.0			
T	40.686790002	-77.688175002	1925.2			
T	40.687070000	-77.687590000	1910.4			
T	40.687470000	-77.686880000	1893.5			
T	40.687865002	-77.686230004	1870.5			
T	40.688260000	-77.685580000	1849.8			
T	40.688510000	-77.685220000	1839.2			
T	40.688860000	-77.684590000	1818.9			
T	40.689300000	-77.683930000	1802.1			
T	40.689710000	-77.683560000	1785.6			
T	40.690100000	-77.683170000	1768.9			
T	40.690240000	-77.683020000	1756.9			
T	40.690570000	-77.682570000	1746.5			
T	40.691210000	-77.681900000	1722.2			
T	40.691460000	-77.681680000	1712.6			
T	40.692070000	-77.681460000	1695.8			
T	40.692500000	-77.681230000	1686.2			
T	40.693250001	-77.680740006	1670.2			
T	40.694000000	-77.680250000	1656.5			
T	40.694410000	-77.680060000	1650.1			
T	40.694600000	-77.679980000	1644.9			
T	40.694840000	-77.679940000	1641.0			
T	40.695350000	-77.680110000	1633.0			
T	40.695950000	-77.680340000	1633.1			
T	40.696040000	-77.680410000	1633.1			
T	40.695500000	-77.681320000	1632.3			
T	40.695210000	-77.682220000	1625.5			
T	40.694950000	-77.683250000	1618.4			
T	40.694790000	-77.684060000	1602.2			
T	40.694690000	-77.684370000	1599.2			
T	40.694295003	-77.685155005	1585.6			
T	40.693900000	-77.685940000	1563.9			
T	40.693560002	-77.686580003	1555.5			
T	40.693220000	-77.687220000	1537.5			
T	40.693030001	-77.687770001	1539.3			
T	40.692840000	-77.688320000	1549.4			
T	40.692830000	-77.688330000	1549.6			
T	40.692710000	-77.688700000	1552.7			
T	40.692565002	-77.689375002	1553.9			
T	40.692420000	-77.690050000	1556.1			
T	40.692190000	-77.690590000	1560.2			
T	40.691990000	-77.690990000	1565.8			
T	40.691860000	-77.691500000	1569.5			
T	40.691750000	-77.692110000	1574.0			
T	40.691420000	-77.693100000	1580.6			
T	40.691270000	-77.693400000	1583.5			
T	40.690920000	-77.693770000	1589.4			
T	40.690500000	-77.694140000	1595.5			
T	40.690330000	-77.694350000	1601.0			
T	40.690230000	-77.694580000	1603.3			
T	40.690150000	-77.694940000	1603.5			
T	40.690120000	-77.695380000	1601.4			
T	40.690150003	-77.696215000	1599.4			
T	40.690180000	-77.697050000	1604.2			
T	40.690170000	-77.697980000	1608.4			
T	40.690220000	-77.698390000	1611.4			
T	40.690310000	-77.698710000	1614.5			
T	40.690440000	-77.699280000	1624.1			
T	40.690710000	-77.700220000	1637.1			
T	40.690750000	-77.700630000	1640.8			
T	40.690700000	-77.700840000	1640.8			
T	40.690430000	-77.701430000	1645.2			
T	40.690280000	-77.701880000	1649.4			
T	40.690160000	-77.702460000	1656.4			
T	40.690110000	-77.702950000	1661.9			
T	40.689990000	-77.703490000	1660.8			
T	40.689860000	-77.703970000	1659.2			
T	40.689620000	-77.704470000	1649.3			
T	40.689250000	-77.705140000	1643.4			
T	40.688760000	-77.705820000	1647.0			
T	40.688430002	-77.706445003	1649.0			
T	40.688100000	-77.707070000	1657.7			
T	40.687910000	-77.707520000	1659.4			
T	40.687810000	-77.707910000	1659.7			
T	40.687645010	-77.708787507	1655.6			
T	40.687480013	-77.709665009	1649.8			
T	40.687315010	-77.710542506	1639.8			
T	40.687150000	-77.711420000	1630.6			
T	40.687000000	-77.711860000	1624.0			
T	40.686700000	-77.712610000	1612.8			
T	40.686430000	-77.713200000	1609.7			
T	40.686200000	-77.713660000	1604.5			
T	40.685850000	-77.714580000	1593.6			
T	40.685620000	-77.715530000	1583.8			
T	40.685620000	-77.715540000	1583.7			
T	40.685510000	-77.716210000	1577.0			
T	40.685470000	-77.716960000	1570.8			
T	40.685590000	-77.717640000	1560.3			
T	40.685890000	-77.718660000	1556.4			
T	40.685990000	-77.719190000	1558.6			
T	40.686080000	-77.719470000	1567.4			
T	40.686280000	-77.719970000	1572.9			
T	40.686450000	-77.720310000	1580.6			
T	40.686550000	-77.720410000	1587.5			
T	40.686680000	-77.720500000	1589.4			
T	40.686840000	-77.720540000	1592.7			
T	40.687570000	-77.720520000	1593.5			
T	40.688300000	-77.720500000	1594.8			
T	40.689030000	-77.720513333	1591.8			
T	40.689760000	-77.720526666	1591.5			
T	40.690490000	-77.720540000	1588.1			
T	40.690740000	-77.720500000	1587.4			
T	40.690850000	-77.720450000	1586.8			
T	40.691230000	-77.720360000	1582.6			
T	40.691510000	-77.720270000	1577.0			
T	40.691650000	-77.720230000	1572.0			
T	40.691780000	-77.720180000	1567.7			
T	40.692050000	-77.720130000	1560.2			
T	40.692400000	-77.720040000	1550.2			
T	40.692500000	-77.720030000	1548.9			
T	40.692490000	-77.720030000	1548.9			
T	40.692660000	-77.720010000	1546.4			
T	40.692960000	-77.720050000	1542.0			
T	40.693310000	-77.720100000	1538.0			
T	40.693980000	-77.720140000	1528.5			
T	40.694420000	-77.720090000	1521.7			
T	40.694850000	-77.719920000	1514.2			
T	40.695140000	-77.719730000	1505.9			
T	40.695620000	-77.719270000	1498.3			
T	40.696040000	-77.718800000	1493.5			
T	40.696160000	-77.718620000	1490.4			
T	40.696330000	-77.718170000	1479.8			
T	40.696410000	-77.718030000	1478.2			
T	40.696450000	-77.717990000	1478.0			
T	40.696560000	-77.717910000	1477.7			
T	40.696910000	-77.717850000	1475.2			
T	40.697110000	-77.717770000	1470.9			
T	40.697180000	-77.717720000	1470.9			
T	40.697330000	-77.717460000	1467.2			
T	40.697460000	-77.717060000	1459.7			
T	40.697570000	-77.716520000	1443.4			
T	40.697820000	-77.715570000	1428.7			
T	40.697850000	-77.715080000	1419.3			
T	40.697790000	-77.714100000	1395.0			
T	40.697650000	-77.713040000	1383.9			
T	40.697690000	-77.712930000	1383.9			
T	40.697780000	-77.712840000	1383.5			
T	40.697860000	-77.712800000	1383.5			
T	40.697970000	-77.712770000	1383.7			
T	40.698070000	-77.712840000	1383.5			
T	40.698490000	-77.713310000	1380.1			
T	40.698660000	-77.713560000	1377.0			
T	40.698770000	-77.713740000	1375.8			
T	40.699000000	-77.714410000	1372.4			
T	40.699180000	-77.714720000	1368.9			
T	40.699260000	-77.714900000	1367.5			
T	40.699300000	-77.715040000	1364.7			
T	40.699330000	-77.715450000	1361.0			
T	40.699450000	-77.716070000	1349.7			
T	40.699460000	-77.716210000	1349.7			
T	40.699420000	-77.716560000	1347.0			
T	40.699260000	-77.717490000	1330.8			
T	40.699220000	-77.717950000	1324.0			
T	40.699250000	-77.719020000	1305.5			
T	40.699300000	-77.719910000	1284.1			
T	40.699390000	-77.720500000	1269.5			
T	40.699490000	-77.721000000	1259.8			
T	40.699550000	-77.721160000	1257.5			
T	40.699640000	-77.721300000	1252.7			
T	40.700045001	-77.721684998	1247.7			
T	40.700450000	-77.722070000	1225.1			
T	40.700950000	-77.722470000	1207.5			
T	40.701230000	-77.722620000	1197.5			
T	40.701450000	-77.722790000	1186.7			
T	40.701810000	-77.723370000	1173.0			
T	40.702030000	-77.723730000	1163.8			
T	40.702190000	-77.723950000	1161.0			
T	40.702290000	-77.724040000	1159.8			
T	40.702865001	-77.724444997	1163.8			
T	40.703440000	-77.724850000	1167.4			
T	40.704080000	-77.725240000	1167.2			
T	40.704200000	-77.725290000	1168.4			
T	40.704520000	-77.725340000	1168.4			
T	40.704650000	-77.724180000	1174.8			
T	40.704870000	-77.723040000	1181.2			
T	40.704920000	-77.722910000	1181.7			
T	40.705040000	-77.722650000	1186.4			
T	40.705190000	-77.722390000	1188.1			
T	40.705620000	-77.722020000	1191.6			
T	40.706210000	-77.721660000	1199.5			
T	40.706490000	-77.721360000	1201.0			
T	40.706800000	-77.720860000	1204.6			
T	40.707180003	-77.719965005	1213.9			
T	40.707560000	-77.719070000	1223.4			
T	40.707950000	-77.718360000	1229.6			
T	40.708180000	-77.717890000	1235.0			
T	40.708300000	-77.717010000	1241.3			
T	40.708380000	-77.716110000	1250.1			
T	40.708350000	-77.715530000	1256.0			
T	40.708270000	-77.714850000	1268.6			
T	40.708260000	-77.714230000	1276.6			
T	40.708320000	-77.713830000	1280.0			
T	40.708505001	-77.713270001	1282.3			
T	40.708690000	-77.712710000	1286.3			
T	40.708890000	-77.712390000	1283.4			
T	40.709140000	-77.712170000	1282.0			
T	40.709630001	-77.711590004	1288.1			
T	40.710120000	-77.711010000	1294.6			
T	40.710450002	-77.710290004	1299.9			
T	40.710780000	-77.709570000	1309.9			
T	40.710880000	-77.709070000	1315.6			
T	40.710930000	-77.708510000	1318.8			
T	40.710890000	-77.707550000	1328.6			
T	40.710880000	-77.706530000	1336.9			
T	40.710940000	-77.706160000	1342.9			
T	40.711160000	-77.705190000	1354.1			
T	40.711355002	-77.704430002	1366.2			
T	40.711550000	-77.703670000	1379.4			
T	40.711860003	-77.702900004	1388.0			
T	40.712170000	-77.702130000	1407.2			
T	40.712462509	-77.701317511	1417.7			
T	40.712755011	-77.700505014	1435.8			
T	40.713047509	-77.699692511	1446.0			
T	40.713340000	-77.698880000	1457.8			
T	40.713600002	-77.698205003	1470.3			
T	40.713860000	-77.697530000	1488.5			
T	40.713980000	-77.697300000	1488.5			
T	40.714130000	-77.697080000	1499.2			
T	40.714120000	-77.697080000	1499.2			
T	40.714220000	-77.696950000	1502.8			
T	40.714520000	-77.696410000	1518.8			
T	40.714880000	-77.695690000	1537.5			
T	40.715150003	-77.694850003	1551.8			
T	40.715420000	-77.694010000	1564.6			
T	40.715535002	-77.693405001	1578.5			
T	40.715650000	-77.692800000	1587.3			
T	40.715730000	-77.692740000	1588.3			
T	40.716080000	-77.692720000	1588.6			
T	40.716280000	-77.692870000	1588.3			
T	40.716500000	-77.693140000	1589.8			
T	40.716640000	-77.693410000	1593.0			
T	40.716690000	-77.693640000	1595.1			
T	40.716710000	-77.693900000	1601.8			
T	40.716680000	-77.694220000	1606.8			
T	40.716710000	-77.694710000	1618.6			
T	40.716860000	-77.695340000	1624.3			
T	40.717125002	-77.695944997	1632.9			
T	40.717390000	-77.696550000	1649.8			
T	40.717570000	-77.696810000	1657.9			
T	40.717830000	-77.697080000	1663.6			
T	40.718600000	-77.697350000	1659.4			
T	40.718970000	-77.697400000	1651.8			
T	40.719240000	-77.697440000	1648.8			
T	40.719620000	-77.697580000	1644.9			
T	40.720120000	-77.697840000	1636.6			
T	40.720440000	-77.698080000	1630.9			
T	40.720580000	-77.698270000	1626.5			
T	40.720650000	-77.698370000	1623.1			
T	40.720830000	-77.698700000	1616.5			
T	40.721040000	-77.699010000	1611.5			
T	40.721410000	-77.699410000	1604.9			
T	40.721830000	-77.699740000	1599.1			
T	40.722180000	-77.700080000	1594.0			
T	40.722370000	-77.700310000	1592.2			
T	40.722450000	-77.700460000	1591.3			
T	40.722520000	-77.700750000	1591.8			
T	40.722690000	-77.700990000	1593.6			
T	40.723090000	-77.701430000	1598.3			
T	40.723410000	-77.701650000	1606.1			
T	40.723640000	-77.701740000	1607.3			
T	40.723870000	-77.701780000	1609.2			
T	40.724720000	-77.701984997	1628.4			
T	40.725570000	-77.702190000	1636.1			
T	40.726000000	-77.702370000	1635.0			
T	40.726460000	-77.702580000	1634.3			
T	40.727030000	-77.702960000	1635.4			
T	40.727170000	-77.702950000	1633.4			
T	40.727220000	-77.702910000	1633.1			
T	40.727310000	-77.702760000	1632.5			
T	40.727480000	-77.702460000	1639.7			
T	40.727700000	-77.702280000	1650.2			
T	40.728000000	-77.702140000	1657.6			
T	40.728060000	-77.702140000	1657.6			
T	40.728470000	-77.702010000	1669.5			
T	40.728870000	-77.701690000	1676.7			
T	40.729170000	-77.701290000	1688.0			
T	40.729530000	-77.700750000	1698.1			
T	40.729820000	-77.700350000	1709.0			
T	40.730550000	-77.699730000	1741.1			
T	40.730850000	-77.699640000	1746.8			
T	40.731500000	-77.699550000	1769.8			
T	40.731740000	-77.699500000	1775.3			
T	40.731840000	-77.699410000	1775.3			
T	40.732140000	-77.698870000	1791.4			
T	40.732330000	-77.698550000	1798.0			
T	40.732920000	-77.697760000	1823.0			
T	40.733120000	-77.697530000	1828.2			
T	40.733240000	-77.697350000	1835.1			
T	40.733330000	-77.697130000	1838.6			
T	40.733606672	-77.696323340	1847.2			
T	40.733883339	-77.695516673	1852.1			
T	40.734160000	-77.694710000	1855.9			
T	40.734540004	-77.693730006	1870.6			
T	40.734920000	-77.692750000	1886.8			
T	40.735060000	-77.692520000	1892.5			
T	40.735130000	-77.692470000	1892.5			
T	40.735280000	-77.692250000	1900.7			
T	40.735500000	-77.691800000	1908.3			
T	40.735640000	-77.691620000	1909.2			
T	40.735970000	-77.691310000	1907.3			
T	40.736410000	-77.691050000	1901.3			
T	40.736500000	-77.691040000	1897.3			
T	40.736800000	-77.690860000	1895.5			
T	40.737320000	-77.690450000	1883.6			
T	40.737690000	-77.690050000	1875.5			
T	40.737920000	-77.689740000	1867.7			
T	40.738280000	-77.688980000	1856.4			
T	40.738530000	-77.688310000	1844.8			
T	40.738860000	-77.687640000	1827.1			
T	40.739210000	-77.687010000	1812.3			
T	40.739260000	-77.686880000	1811.1			
T	40.739370000	-77.686690000	1801.6			
T	40.739830000	-77.685980000	1787.6			
T	40.740060000	-77.685530000	1778.2			
T	40.740260000	-77.685070000	1771.5			
T	40.740260000	-77.685080000	1771.6			
T	40.740490000	-77.684680000	1765.0			
T	40.740800000	-77.684100000	1747.7			
T	40.741120000	-77.683290000	1737.1			
T	40.741240000	-77.683120000	1733.4			
T	40.741380000	-77.682990000	1729.6			
T	40.741770000	-77.682760000	1714.2			
T	40.742160000	-77.682400000	1700.1			
T	40.742430000	-77.681910000	1693.1			
T	40.742580000	-77.681550000	1693.8			
T	40.742780000	-77.680920000	1697.1			
T	40.743050001	-77.680380002	1695.8			
T	40.743320000	-77.679840000	1698.7			
T	40.743650000	-77.679350000	1703.1			
T	40.743810000	-77.679210000	1703.2			
T	40.743930000	-77.679040000	1703.0			
T	40.744140000	-77.678780000	1702.5			
T	40.744710000	-77.678190000	1701.9			
T	40.745280000	-77.677700000	1689.7			
T	40.745910000	-77.677120000	1666.5			
T	40.746450000	-77.676670000	1655.1			
T	40.746750000	-77.676490000	1651.9			
T	40.746950000	-77.676310000	1646.0			
T	40.747150000	-77.676210000	1641.2			
T	40.747640000	-77.675860000	1623.2			
T	40.748200000	-77.675615002	1609.0			
T	40.748760000	-77.675370000	1598.4			
T	40.748900000	-77.675270000	1596.6			
T	40.749090000	-77.675050000	1590.7			
T	40.749190000	-77.674870000	1588.4			
T	40.749410000	-77.674560000	1586.8			
T	40.749800000	-77.674210000	1581.5			
T	40.750260000	-77.674005001	1573.2			
T	40.750720000	-77.673800000	1569.7			
T	40.751120000	-77.673530000	1568.1			
T	40.751440000	-77.673180000	1567.5			
T	40.751740001	-77.672665002	1568.6			
T	40.752040000	-77.672150000	1565.5			
T	40.752330000	-77.671830000	1557.5			
T	40.752660000	-77.671520000	1549.2			
T	40.753090000	-77.671195002	1545.6			
T	40.753520000	-77.670870000	1544.3			
T	40.753930000	-77.670590000	1533.1			
T	40.754335000	-77.670330002	1528.3			
T	40.754740000	-77.670070000	1524.0			
T	40.755170000	-77.669730000	1523.7			
T	40.755320000	-77.669560000	1524.8			
T	40.755720002	-77.668970003	1520.3			
T	40.756120000	-77.668380000	1515.6			
T	40.756400000	-77.668010000	1516.0			
T	40.756830000	-77.667540000	1503.9			
T	40.757110000	-77.667400000	1500.7			
T	40.757410000	-77.667380000	1500.6			
T	40.757490000	-77.667390000	1500.6			
T	40.757580000	-77.667350000	1502.2			
T	40.757870000	-77.667130000	1503.3			
T	40.758320000	-77.666950000	1504.9			
T	40.758490000	-77.666910000	1505.2			
T	40.758680000	-77.666910000	1504.7			
T	40.759060000	-77.667060000	1501.7			
T	40.759200000	-77.667090000	1500.3			
T	40.759290000	-77.667090000	1499.0			
T	40.759520000	-77.667040000	1493.5			
T	40.759890000	-77.666860000	1487.9			
T	40.760130000	-77.666680000	1481.6			
T	40.760390000	-77.666370000	1478.7			
T	40.760530000	-77.666110000	1472.6			
T	40.760890000	-77.665350000	1464.8			
T	40.761020000	-77.665210000	1463.2			
T	40.761240000	-77.665040000	1459.0			
T	40.761330000	-77.665030000	1456.8			
T	40.761440000	-77.665060000	1455.7			
T	40.762040000	-77.665250000	1453.2			
T	40.762620000	-77.665390000	1451.2			
T	40.762940000	-77.665390000	1450.1			
T	40.763290000	-77.665340000	1447.1			
T	40.763730000	-77.665160000	1443.2			
T	40.764290000	-77.664980000	1444.3			
T	40.764490000	-77.664940000	1443.8			
T	40.764580000	-77.664940000	1443.8			
T	40.764760000	-77.664980000	1442.7			
T	40.764990000	-77.665080000	1440.9			
T	40.765600000	-77.665330000	1429.9			
T	40.766340000	-77.665700000	1420.4			
T	40.766730000	-77.665790000	1417.6			
T	40.767080000	-77.665790000	1413.2			
T	40.767520000	-77.665650000	1409.4			
T	40.767750000	-77.665480000	1409.0			
T	40.767870000	-77.665290000	1408.0			
T	40.767940000	-77.665120000	1407.3			
T	40.768040000	-77.664710000	1404.5			
T	40.768110000	-77.664540000	1404.5			
T	40.768280000	-77.664220000	1402.5			
T	40.768350000	-77.664180000	1400.3			
T	40.768450000	-77.664130000	1400.3			
T	40.768820000	-77.664180000	1397.9			
T	40.769340000	-77.664390000	1393.5			
T	40.769560000	-77.664440000	1388.5			
T	40.769800000	-77.664450000	1386.0			
T	40.769960000	-77.664410000	1384.6			
T	40.770080000	-77.664360000	1383.7			
T	40.770680000	-77.663910000	1381.9			
T	40.771090000	-77.663630000	1376.4			
T	40.771190000	-77.663560000	1371.9			
T	40.771280000	-77.663550000	1371.9			
T	40.771360000	-77.663560000	1369.9			
T	40.771430000	-77.663600000	1369.9			
T	40.771775001	-77.664024998	1362.6			
T	40.772120000	-77.664450000	1352.5			
T	40.772410000	-77.664850000	1349.4			
T	40.772650000	-77.665260000	1353.5			
T	40.772830000	-77.665510000	1360.7			
T	40.772950000	-77.665610000	1364.4			
T	40.772950000	-77.665600000	1364.2			
T	40.773520000	-77.666010000	1368.2			
T	40.774050000	-77.666450000	1350.4			
T	40.774160000	-77.666550000	1346.2			
T	40.774340000	-77.666830000	1339.4			
T	40.774560000	-77.667260000	1335.9			
T	40.774720000	-77.667450000	1333.3			
T	40.774990000	-77.667710000	1330.1			
T	40.775380000	-77.668190000	1329.6			
T	40.775310000	-77.668300000	1329.5			
T	40.775240000	-77.668480000	1330.3			
T	40.774960000	-77.669330000	1338.6			
T	40.774820000	-77.669830000	1344.0			
T	40.775493335	-77.670293324	1336.9			
T	40.776166668	-77.670756657	1324.0			
T	40.776840000	-77.671220000	1316.6			
T	40.777240000	-77.671470000	1311.2			
T	40.777695000	-77.671739998	1301.8			
T	40.778150000	-77.672010000	1290.7			
T	40.778500000	-77.672240000	1286.1			
T	40.778680000	-77.672440000	1283.7			
T	40.778240010	-77.673198020	1281.7			
T	40.777800015	-77.673956030	1277.9			
T	40.777360015	-77.674714030	1277.1			
T	40.776920010	-77.675472020	1286.2			
T	40.776480000	-77.676230000	1296.4			
