type	latitude	longitude	altitude (ft)	name	desc	url
T	40.748390000	-77.768810000	2017.0			
T	40.748330000	-77.768500000	2013.3			
T	40.748250000	-77.768310000	2012.4			
T	40.748100000	-77.768140000	2013.1			
T	40.747850000	-77.768120000	2013.1			
T	40.747740000	-77.768230000	2012.0			
T	40.747690000	-77.768320000	2012.0			
T	40.747640000	-77.768490000	2008.4			
T	40.747550000	-77.769000000	2000.7			
T	40.747470000	-77.769340000	1992.6			
T	40.747130000	-77.770290000	1979.1			
T	40.747050000	-77.770460000	1977.3			
T	40.746870000	-77.770740000	1968.8			
T	40.746530000	-77.771180000	1963.0			
T	40.746100000	-77.771990000	1948.2			
T	40.746010000	-77.772120000	1945.9			
T	40.745790000	-77.772390000	1938.8			
T	40.745290000	-77.772890000	1929.6			
T	40.745170000	-77.773060000	1923.1			
T	40.745010000	-77.773340000	1917.0			
T	40.744710000	-77.774270000	1895.6			
T	40.744510002	-77.775005002	1883.9			
T	40.744310000	-77.775740000	1869.7			
T	40.744160000	-77.776050000	1860.4			
T	40.743910000	-77.776470000	1852.3			
T	40.743900000	-77.776480000	1852.0			
T	40.743730000	-77.776780000	1843.3			
T	40.743600000	-77.777040000	1839.9			
T	40.743365001	-77.777585002	1825.2			
T	40.743130000	-77.778130000	1817.9			
T	40.742910000	-77.778930000	1805.6			
T	40.742795002	-77.779580001	1794.8			
T	40.742680000	-77.780230000	1784.3			
T	40.742520000	-77.780900000	1778.0			
T	40.742330000	-77.781510000	1772.1			
T	40.742090000	-77.782160000	1766.2			
T	40.741720003	-77.782980005	1752.9			
T	40.741350000	-77.783800000	1741.0			
T	40.741160000	-77.784300000	1730.2			
T	40.741010000	-77.784790000	1725.3			
T	40.740830000	-77.785470000	1714.5			
T	40.740760000	-77.785690000	1714.5			
T	40.740680000	-77.785870000	1712.4			
T	40.740270000	-77.786660000	1701.3			
T	40.739960000	-77.787120000	1691.9			
T	40.739480000	-77.787610000	1683.4			
T	40.739370000	-77.787750000	1682.3			
T	40.738980000	-77.788420000	1668.7			
T	40.738710000	-77.788760000	1664.9			
T	40.738410000	-77.789090000	1660.5			
T	40.738030000	-77.789400000	1657.5			
T	40.737950000	-77.789480000	1654.8			
T	40.737810000	-77.789670000	1652.4			
T	40.737750000	-77.789770000	1650.1			
T	40.737313342	-77.790763346	1639.7			
T	40.736876675	-77.791756680	1627.3			
T	40.736440000	-77.792750000	1614.4			
T	40.736100000	-77.793600000	1603.0			
T	40.735820000	-77.794230000	1598.9			
T	40.735350000	-77.795030000	1585.5			
T	40.735060000	-77.795670000	1573.6			
T	40.734850000	-77.796070000	1560.4			
T	40.734410000	-77.796790000	1549.2			
T	40.734280000	-77.797060000	1545.5			
T	40.734045001	-77.797640002	1538.5			
T	40.733810000	-77.798220000	1533.6			
T	40.733590000	-77.798680000	1528.0			
T	40.733260000	-77.799160000	1519.6			
T	40.733120000	-77.799430000	1517.0			
T	40.732970000	-77.799770000	1511.8			
T	40.732645004	-77.800720005	1501.0			
T	40.732320000	-77.801670000	1493.4			
T	40.732020000	-77.802380000	1488.8			
T	40.731660000	-77.802970000	1478.3			
T	40.731385001	-77.803485002	1471.3			
T	40.731110000	-77.804000000	1468.9			
T	40.730880000	-77.804810000	1464.1			
T	40.730640000	-77.805340000	1456.2			
T	40.730115004	-77.806255007	1441.6			
T	40.729590000	-77.807170000	1437.2			
T	40.729180000	-77.807750000	1434.8			
T	40.728786671	-77.808483342	1429.2			
T	40.728393338	-77.809216675	1419.5			
T	40.728000000	-77.809950000	1411.2			
T	40.727740001	-77.810560003	1402.2			
T	40.727480000	-77.811170000	1391.4			
T	40.727360000	-77.811560000	1386.0			
T	40.727260000	-77.812320000	1373.3			
T	40.726920003	-77.813170004	1356.6			
T	40.726580000	-77.814020000	1342.4			
T	40.726330000	-77.814730000	1333.5			
T	40.726100000	-77.815690000	1324.4			
T	40.725960000	-77.816130000	1315.8			
T	40.725830000	-77.816440000	1315.8			
T	40.725720000	-77.816660000	1311.2			
T	40.725340000	-77.817070000	1304.7			
T	40.725110000	-77.817430000	1301.5			
T	40.724770000	-77.818280000	1291.6			
T	40.724410000	-77.819040000	1285.0			
T	40.724040000	-77.819890000	1278.0			
T	40.723690000	-77.820260000	1272.8			
T	40.723390000	-77.820700000	1265.1			
T	40.723195001	-77.821280002	1258.8			
T	40.723000000	-77.821860000	1252.1			
T	40.722770000	-77.822400000	1247.0			
T	40.722620000	-77.822870000	1244.5			
T	40.722460000	-77.823160000	1241.4			
T	40.722085001	-77.823545002	1240.3			
T	40.721710000	-77.823930000	1238.8			
T	40.721480000	-77.824280000	1233.3			
T	40.721080004	-77.825220006	1228.2			
T	40.720680000	-77.826160000	1214.2			
T	40.720160009	-77.826884023	1207.6			
T	40.719640014	-77.827608034	1205.0			
T	40.719120014	-77.828332034	1197.8			
T	40.718600009	-77.829056023	1184.2			
T	40.718080000	-77.829780000	1171.3			
T	40.717610002	-77.830475005	1163.2			
T	40.717140000	-77.831170000	1153.9			
T	40.716730004	-77.832110006	1143.9			
